name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information
"Genesis Physical Therapy, Inc.",CA,Healthcare Provider,2245.0,10/7/2016,Unauthorized Access/Disclosure,Electronic Medical Record
The Seattle Indian Health Board,WA,Healthcare Provider,793.0,10/6/2016,Hacking/IT Incident,Email
Napa Valley Dentistry,CA,Healthcare Provider,4262.0,10/5/2016,Theft,Other
Baxter Regional Medical Center - Home Health Facility,AR,Healthcare Provider,2124.0,10/5/2016,Unauthorized Access/Disclosure,Other
Apria Healthcare,CA,Healthcare Provider,1987.0,10/4/2016,Unauthorized Access/Disclosure,Email
"Francisco Jaume, D.O.",AZ,Healthcare Provider,14236.0,10/4/2016,Hacking/IT Incident,Network Server
Rainbow Children's Clinic,TX,Healthcare Provider,33698.0,10/3/2016,Hacking/IT Incident,Network Server
University of Wisconsin Hospitals and Clinics Authority,WI,Healthcare Provider,6923.0,9/30/2016,Unauthorized Access/Disclosure,Paper/Films
Urgent Care Clinic of Oxford,MS,Healthcare Provider,64000.0,9/30/2016,Hacking/IT Incident,Network Server
"Fred's Stores of Tennessee, Incorporated",TN,Healthcare Provider,9624.0,9/29/2016,Theft,Laptop
San Juan Oncology Associates,NM,Healthcare Provider,500.0,9/29/2016,Hacking/IT Incident,Network Server
Thomasville Eye Center,GA,Healthcare Provider,10891.0,9/28/2016,Unauthorized Access/Disclosure,Desktop Computer
Marin Healthcare District,CA,Healthcare Provider,2292.0,9/27/2016,Hacking/IT Incident,Network Server
Prima Medical Foundation ,CA,Healthcare Provider,2933.0,9/26/2016,Hacking/IT Incident,Network Server
Group Health,WA,Health Plan,668.0,9/23/2016,Unauthorized Access/Disclosure,Paper/Films
"Central Ohio Urology Group, Inc.",OH,Healthcare Provider,300000.0,9/23/2016,Hacking/IT Incident,Network Server
"Hal Meadows, M.D.",CA,Healthcare Provider,6000.0,9/23/2016,Hacking/IT Incident,Desktop Computer
Jennie Stuart Medical Center,KY,Healthcare Provider,1500.0,9/23/2016,Hacking/IT Incident,Network Server
New Jersey Spine Center,NJ,Healthcare Provider,28000.0,9/22/2016,Hacking/IT Incident,"Electronic Medical Record, Network Server"
USC Keck and Norris Hospitals,CA,Healthcare Provider,16000.0,9/21/2016,Hacking/IT Incident,Network Server
McLaren Greater Lansing Cardiovascular Group,MI,Healthcare Provider,1000.0,9/21/2016,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record, Other"
Ventura County Health Care Agency,CA,Healthcare Provider,777.0,9/20/2016,Unauthorized Access/Disclosure,Paper/Films
KidsPeace,PA,Healthcare Provider,1456.0,9/19/2016,Loss,Paper/Films
"CHI Franciscan Health, St. Clare Hospital and St. Joseph Medical Center",WA,Healthcare Provider,2818.0,9/16/2016,Unauthorized Access/Disclosure,Electronic Medical Record
"Heritage Medical Partners, LLC",SC,Healthcare Provider,812.0,9/15/2016,Unauthorized Access/Disclosure,Paper/Films
King of Prussia Dental Associates,PA,Healthcare Provider,16228.0,9/13/2016,Hacking/IT Incident,Network Server
"Pratap S. Kurra, M.D.",CA,Healthcare Provider,2029.0,9/12/2016,Loss,Paper/Films
Codman Square Health Center ,MA,Healthcare Provider,3840.0,9/12/2016,Unauthorized Access/Disclosure,Desktop Computer
Yuba Sutter Medical Clinic,CA,Business Associate,1500.0,9/12/2016,Hacking/IT Incident,Network Server
U.S. HealthWorks,CA,Healthcare Provider,1400.0,9/9/2016,Theft,Laptop
Asante,OR,Healthcare Provider,2400.0,9/9/2016,Unauthorized Access/Disclosure,Electronic Medical Record
Martin Army Community Hospital,GA,Healthcare Provider,1000.0,9/9/2016,Theft,Paper/Films
Public Education Employees' Health Insurance Plan,AL,Health Plan,1349.0,9/9/2016,Unauthorized Access/Disclosure,Network Server
"Man Alive, Inc. and Lane Treatment Center, LLC",MD,Healthcare Provider,860.0,9/8/2016,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record"
"University Gastroenterology, Inc.",RI,Healthcare Provider,15478.0,9/8/2016,Hacking/IT Incident,Network Server
Decatur Health Systems ,KS,Healthcare Provider,707.0,9/7/2016,Theft,Paper/Films
Geisinger Health Plan,PA,Health Plan,2814.0,9/7/2016,Unauthorized Access/Disclosure,Other
Medical College of Wisconsin,WI,Healthcare Provider,3179.0,9/2/2016,Hacking/IT Incident,Email
Burrell Behavioral Health,MO,Healthcare Provider,7748.0,9/2/2016,Unauthorized Access/Disclosure,Email
Santa Cruz County Health Services Agency,CA,Healthcare Provider,25000.0,9/2/2016,Unauthorized Access/Disclosure,Paper/Films
"Franciscan Health, Highline Medical Center",WA,Healthcare Provider,18399.0,9/1/2016,Unauthorized Access/Disclosure,Network Server
Willow Bend Dental,TX,Healthcare Provider,625.0,8/31/2016,Theft,Other
"Center for Neurosurgical & Spine Disorders, LLC",LA,Healthcare Provider,824.0,8/31/2016,Hacking/IT Incident,Desktop Computer
"Howard R. Jarvis, D.M.D., L.L.C. dba Southwest Portland Dental",OR,Healthcare Provider,1980.0,8/30/2016,Hacking/IT Incident,Network Server
County of Los Angeles,CA,Healthcare Provider,743.0,8/30/2016,Theft,Paper/Films
Planned Parenthood of Greater Washington and North Idaho,WA,Healthcare Provider,10700.0,8/26/2016,Unauthorized Access/Disclosure,Email
"Summit Medical Group, Inc. dba St. Elizabeth Physicians ",KY,Healthcare Provider,674.0,8/23/2016,Unauthorized Access/Disclosure,Email
CalOptima,CA,Health Plan,1000.0,8/22/2016,Unauthorized Access/Disclosure,Other Portable Electronic Device
SCAN Health Plan,CA,Health Plan,87069.0,8/22/2016,Unauthorized Access/Disclosure,Other
The Outer Banks Hospital,NC,Healthcare Provider,1000.0,8/19/2016,Loss,Other Portable Electronic Device
Orleans Medical Clinic,IN,Healthcare Provider,6890.0,8/19/2016,Hacking/IT Incident,Network Server
"Village of Oak Park, Illinois",IL,Health Plan,688.0,8/18/2016,Unauthorized Access/Disclosure,Email
New York State Office of Mental Health,NY,Healthcare Provider,21880.0,8/15/2016,Hacking/IT Incident,Network Server
Phoenix Dental Care,TN,Healthcare Provider,500.0,8/15/2016,Theft,Paper/Films
John E. Gonzalez DDS,CA,Healthcare Provider,1025.0,8/14/2016,Theft,Other Portable Electronic Device
Bon Secours Health System Incorporated,MD,Healthcare Provider,651971.0,8/12/2016,Unauthorized Access/Disclosure,Network Server
"Valley Anesthesiology Consultants, Inc. d/b/a Valley Anesthesiology and Pain Consultants",AZ,Healthcare Provider,882590.0,8/12/2016,Hacking/IT Incident,Network Server
Rotech Healthcare Inc.,FL,Healthcare Provider,957.0,8/11/2016,Unauthorized Access/Disclosure,Paper/Films
Cardiology Associates,MD,Healthcare Provider,907.0,8/10/2016,Unauthorized Access/Disclosure,Email
Autism Home Support Services,IL,Healthcare Provider,533.0,8/10/2016,Unauthorized Access/Disclosure,Email
"Newkirk Products, Inc.",NY,Business Associate,3466120.0,8/9/2016,Hacking/IT Incident,Network Server
"Professional Dermatology Care, P.C.",VA,Healthcare Provider,13237.0,8/9/2016,Hacking/IT Incident,Network Server
"Prosthetic & Orthotic Care, Inc.",MO,Healthcare Provider,23015.0,8/7/2016,Hacking/IT Incident,Network Server
Center for Minimmally Invasive Bariatric and General Surgery,PA,Healthcare Provider,992.0,8/5/2016,Unauthorized Access/Disclosure,Email
The Carle Foundation,IL,Healthcare Provider,1185.0,8/4/2016,Unauthorized Access/Disclosure,Network Server
Banner Health,AZ,Healthcare Provider,3620000.0,8/3/2016,Hacking/IT Incident,"Network Server, Other"
"Jefferson Medical Associates, P.A.",MS,Healthcare Provider,10401.0,7/29/2016,Hacking/IT Incident,Network Server
"Athens Orthopedic Clinic, P.A.",GA,Healthcare Provider,201000.0,7/29/2016,Unauthorized Access/Disclosure,Electronic Medical Record
"Athletes' Performance Los Angeles, LLC",AZ,Healthcare Provider,854.0,7/28/2016,Theft,Laptop
Midwest Orthopedic Pain and Spine,MO,Healthcare Provider,29153.0,7/26/2016,Hacking/IT Incident,Network Server
StarCare Speciality Health System,TX,Healthcare Provider,2844.0,7/25/2016,Theft,"Laptop, Paper/Films"
"American Family Care, Inc.",AL,Healthcare Provider,7200.0,7/25/2016,Unauthorized Access/Disclosure,"Electronic Medical Record, Other"
"Caring for Women, PA",TX,Healthcare Provider,697.0,7/22/2016,Unauthorized Access/Disclosure,Email
"Ambucor Health Solutions, an unincorporated division of The ScottCare Corporation",DE,Business Associate,1679.0,7/22/2016,Unauthorized Access/Disclosure,"Email, Other Portable Electronic Device"
Sunbury Plaza Dental,OH,Business Associate,7784.0,7/21/2016,Theft,Paper/Films
"Memorial Hermann Health System, reporting on behalf of Memorial Hermann Health System Employee Group Health Plan",TX,Health Plan,12061.0,7/20/2016,Unauthorized Access/Disclosure,Paper/Films
Brian Halevie-Goldman,CA,Healthcare Provider,2000.0,7/20/2016,Theft,Laptop
"Premier Family Care I, Inc.",TX,Healthcare Provider,1326.0,7/20/2016,Unauthorized Access/Disclosure,Paper/Films
Neurology Physicians LLC,MD,Healthcare Provider,4831.0,7/20/2016,Hacking/IT Incident,Other
"Access Health Care Physicians, LLC",FL,Healthcare Provider,2500.0,7/19/2016,Theft,Paper/Films
Providence Medical Group- Gateway Clinics,OR,Healthcare Provider,5978.0,7/15/2016,Unauthorized Access/Disclosure,Electronic Medical Record
"Lee Rice D.O., Medical Corp DBA Lifewellness Institute",CA,Healthcare Provider,2473.0,7/15/2016,Hacking/IT Incident,Electronic Medical Record
Blaine Chiropractic Center,MN,Healthcare Provider,1945.0,7/14/2016,Hacking/IT Incident,Network Server
"SUNSHINE STATE HEALTH PLAN, INC.",FL,Health Plan,1479.0,7/14/2016,Unauthorized Access/Disclosure,Email
"Cefalu Eye-Tech of Green, Inc.",OH,Healthcare Provider,850.0,7/14/2016,Unauthorized Access/Disclosure,Electronic Medical Record
Kaiser Permanente Northern California,CA,Health Plan,1136.0,7/12/2016,Theft,Other Portable Electronic Device
"Lasair Aesthetic Health, P.C.",CO,Healthcare Provider,1835.0,7/11/2016,Unauthorized Access/Disclosure,Email
"Health Incent, LLC",TN,Healthcare Provider,1100.0,7/11/2016,Hacking/IT Incident,Other
Dr. Q Pain and Spine d/b/a Arkansas Spine and Pain,AR,Healthcare Provider,17100.0,7/11/2016,Hacking/IT Incident,Network Server
"Heart Center of Southern Maryland, L.L.P.",MD,Healthcare Provider,1350.0,7/7/2016,Hacking/IT Incident,Electronic Medical Record
The Ambulatory Surgery Center at St. Mary (ACASM),PA,Healthcare Provider,13000.0,7/7/2016,Hacking/IT Incident,Network Server
Planned Parenthood of the Heartland,IA,Healthcare Provider,2506.0,7/1/2016,Unauthorized Access/Disclosure,Paper/Films
Mercy Medical Center Redding,CA,Healthcare Provider,520.0,6/29/2016,Unauthorized Access/Disclosure,Other
Massachusetts General Hospital ,MA,Healthcare Provider,4293.0,6/29/2016,Hacking/IT Incident,Network Server
"Linda J White, DDS, PC",VA,Healthcare Provider,2000.0,6/27/2016,Improper Disposal,Other Portable Electronic Device
Ceaton C Falgiano,NY,Healthcare Provider,650.0,6/27/2016,Unauthorized Access/Disclosure,Email
"Uncommon Care, P.A.",NC,Healthcare Provider,13674.0,6/21/2016,Hacking/IT Incident,Network Server
Midland Women's Clinic,TX,Healthcare Provider,717.0,6/17/2016,Unauthorized Access/Disclosure,Paper/Films
"Allergy, Asthma & Immunology of the Rockies, PC ",CO,Healthcare Provider,6851.0,6/17/2016,Hacking/IT Incident,Network Server
Texas Health and Human Services Commission,TX,Health Plan,600.0,6/14/2016,Loss,Paper/Films
Kern County Mental Health,CA,Health Plan,1212.0,6/14/2016,Improper Disposal,Paper/Films
Laser & Dermatologic Surgery Center ,MO,Healthcare Provider,31000.0,6/14/2016,Hacking/IT Incident,Network Server
Riverside Health System,VA,Healthcare Provider,578.0,6/10/2016,Unauthorized Access/Disclosure,Paper/Films
EDWARD G. MYERS D.O. INC,OH,Healthcare Provider,6441.0,6/10/2016,Hacking/IT Incident,Network Server
Saints Mary and Elizabeth Hospital,KY,Healthcare Provider,1682.0,6/10/2016,Unauthorized Access/Disclosure,Email
PruittHealth Hospice Beaufort,SC,Healthcare Provider,1437.0,6/9/2016,Unauthorized Access/Disclosure,Paper/Films
North Ottawa Medical Group,MI,Healthcare Provider,22000.0,6/9/2016,Unauthorized Access/Disclosure,Network Server
"Wal-Mart Stores, Inc.",AR,Healthcare Provider,27393.0,6/8/2016,Unauthorized Access/Disclosure,Paper/Films
Midland County Hospital District d/b/a Midland Memorial Hospital,TX,Healthcare Provider,1468.0,6/7/2016,Unauthorized Access/Disclosure,Paper/Films
"Grace Primary Care, PC",TN,Healthcare Provider,6853.0,6/7/2016,Hacking/IT Incident,Network Server
Vincent Vein Center,CO,Healthcare Provider,2250.0,6/7/2016,Hacking/IT Incident,Electronic Medical Record
The Vein Doctor,MO,Healthcare Provider,3000.0,6/3/2016,Hacking/IT Incident,"Electronic Medical Record, Network Server"
The University of New Mexico,NM,Healthcare Provider,2827.0,6/3/2016,Unauthorized Access/Disclosure,Paper/Films
"My Pediatrician, PA",FL,Business Associate,2500.0,6/1/2016,Hacking/IT Incident,Network Server
ENT and Allergy Center,AR,Healthcare Provider,16200.0,5/31/2016,Hacking/IT Incident,Network Server
Washington DC VA Medical Center,DC,Healthcare Provider,1062.0,5/31/2016,Theft,Paper/Films
"Orchid MPS Holdings, LLC Welfare Benefit Plan",MI,Health Plan,771.0,5/26/2016,Unauthorized Access/Disclosure,Paper/Films
Stamford Podiatry Group .P.C,CT,Healthcare Provider,40491.0,5/25/2016,Hacking/IT Incident,Network Server
California Health & Longevity Institute,CA,Healthcare Provider,4386.0,5/25/2016,Unauthorized Access/Disclosure,Electronic Medical Record
Integrated Health Solutions PC,PA,Healthcare Provider,19776.0,5/25/2016,Hacking/IT Incident,"Electronic Medical Record, Network Server"
"Keystone Rural Health Consortia, Inc.",PA,Healthcare Provider,800.0,5/24/2016,Theft,"Electronic Medical Record, Paper/Films"
Berkeley Endocrine Clinic,CA,Business Associate,1370.0,5/24/2016,Unauthorized Access/Disclosure,Email
Aflac,GA,Health Plan,930.0,5/20/2016,Unauthorized Access/Disclosure,Paper/Films
"Coordinated Health Mutual, Inc.",OH,Health Plan,591.0,5/20/2016,Unauthorized Access/Disclosure,Paper/Films
"Tallahassee Memorial HealthCare, Inc.",FL,Healthcare Provider,505.0,5/20/2016,Hacking/IT Incident,Other
Emergency Room Associates doing business as Emergency Medicine Associates,AZ,Healthcare Provider,1067.0,5/19/2016,Theft,Paper/Films
Complete Chiropractic & Bodywork Therapies,MI,Healthcare Provider,4082.0,5/17/2016,Hacking/IT Incident,"Desktop Computer, Network Server"
San Juan County New Mexico,NM,Healthcare Provider,12500.0,5/17/2016,Hacking/IT Incident,Desktop Computer
Surgical Care Affiliates,AL,Business Associate,9009.0,5/16/2016,Theft,Laptop
"Associates In EyeCare, P.S.C.",KY,Healthcare Provider,971.0,5/16/2016,Theft,"Laptop, Other Portable Electronic Device"
California Correctional Health Care Services,CA,Healthcare Provider,400000.0,5/15/2016,Theft,Laptop
"Imperial Valley Family Care Medical Group, APC",CA,Healthcare Provider,649.0,5/13/2016,Theft,Laptop
Pulaski County Special School District-Employee Benefits Division,AR,Health Plan,2602.0,5/12/2016,Unauthorized Access/Disclosure,Email
"Medical Colleagues of Texas, LLP ",TX,Healthcare Provider,68631.0,5/11/2016,Hacking/IT Incident,Network Server
"Northwest Oncology & Hematology, S.C. ",IL,Healthcare Provider,1625.0,5/11/2016,Unauthorized Access/Disclosure,Email
Family Medicine of Weston,FL,Healthcare Provider,500.0,5/11/2016,Hacking/IT Incident,Network Server
HeartCare Consultants,FL,Healthcare Provider,16000.0,5/11/2016,Hacking/IT Incident,Electronic Medical Record
UnityPoint Health Affiliated Covered Entity,IA,Healthcare Provider,1620.0,5/11/2016,Unauthorized Access/Disclosure,Electronic Medical Record
Lafayette Pain Care PC,IN,Healthcare Provider,7500.0,5/9/2016,Hacking/IT Incident,Network Server
"Southeast Eye Institute, P.A. dba eye Associates of Pinellas",FL,Healthcare Provider,87314.0,5/5/2016,Hacking/IT Incident,Network Server
UnitedHealth Group Single Affiliated Covered Entity (SACE),MN,Health Plan,5330.0,5/4/2016,Unauthorized Access/Disclosure,Paper/Films
"Florida Medical Clinic, PA",FL,Healthcare Provider,1000.0,5/4/2016,Unauthorized Access/Disclosure,Electronic Medical Record
Managed Health Services,IN,Health Plan,610.0,5/1/2016,Unauthorized Access/Disclosure,Paper/Films
PruittHealth Home Health -- Low Country,SC,Healthcare Provider,1500.0,4/29/2016,Unauthorized Access/Disclosure,Paper/Films
Northstar Healthcare Acquisitions LLC,TX,Healthcare Provider,19898.0,4/28/2016,Theft,Laptop
"Family & Children's Services of Mid Michigan, Inc.",MI,Healthcare Provider,981.0,4/27/2016,Hacking/IT Incident,Network Server
Comanche County Hospital Authority,OK,Healthcare Provider,2199.0,4/25/2016,Hacking/IT Incident,Email
Children's National Medical Center,DC,Healthcare Provider,4107.0,4/25/2016,Unauthorized Access/Disclosure,Network Server
Mayfield Clinic Inc,OH,Healthcare Provider,23341.0,4/23/2016,Hacking/IT Incident,Email
Ohio Department of Mental Health and Addiction Services,OH,Healthcare Provider,59000.0,4/22/2016,Unauthorized Access/Disclosure,Paper/Films
Edwin Shaw Rehabilitation,OH,Healthcare Provider,975.0,4/22/2016,Loss,Other
"Kaiser Foundation Health Plan, Inc.",CA,Business Associate,2451.0,4/22/2016,Theft,Paper/Films
Wyoming Medical Center,WY,Healthcare Provider,3184.0,4/20/2016,Hacking/IT Incident,Email
Lake Pulmonary Critical PA,FL,Healthcare Provider,648.0,4/20/2016,Theft,Paper/Films
Lake Pulmonary Critical Care PA,FL,Healthcare Provider,648.0,4/20/2016,Theft,Paper/Films
"Quarles & Brady, LLP",WI,Business Associate,1032.0,4/19/2016,Theft,Laptop
Florida Hospital Medical Group,FL,Healthcare Provider,1906.0,4/18/2016,Unauthorized Access/Disclosure,Email
"Vail Clinic, Inc. dba Vail Valley Medical Center, and dba Howard Head Sports Medicine",CO,Healthcare Provider,3118.0,4/15/2016,Unauthorized Access/Disclosure,Network Server
Atique Orthodontics,OR,Healthcare Provider,1506.0,4/15/2016,Hacking/IT Incident,Desktop Computer
Oneida Tribe of Indians of Wisconsin,WI,Healthcare Provider,2734.0,4/15/2016,Theft,"Desktop Computer, Other Portable Electronic Device"
Florida Department of Health,FL,Healthcare Provider,1076.0,4/13/2016,Unauthorized Access/Disclosure,Paper/Films
American Fidelity Assurance Company,OK,Health Plan,2664.0,4/13/2016,Unauthorized Access/Disclosure,Paper/Films
United Community & Family Services,CT,Healthcare Provider,1000.0,4/12/2016,Unauthorized Access/Disclosure,Email
"OptumRx, Inc.",CA,Healthcare Provider,6229.0,4/12/2016,Theft,Laptop
"Sacred Heart Health System, Inc",FL,Healthcare Provider,532.0,4/12/2016,Unauthorized Access/Disclosure,Other
"Mark Anthony Quintero, M.D., L.L.C.",FL,Healthcare Provider,650.0,4/12/2016,Hacking/IT Incident,Network Server
Pain Treatment Centers of America ,AR,Healthcare Provider,19397.0,4/11/2016,Hacking/IT Incident,"Electronic Medical Record, Network Server"
"BioReference Laboratories, Inc",NJ,Healthcare Provider,3563.0,4/8/2016,Unauthorized Access/Disclosure,Other
Indian Health Service Northern Navajo Medical Center,NM,Health Plan,7421.0,4/7/2016,Theft,Paper/Films
RMA Medical Centers of Florida,FL,Healthcare Provider,3906.0,4/7/2016,Theft,Laptop
Pacific Gas and Electric Company,CA,Business Associate,2426.0,4/5/2016,Unauthorized Access/Disclosure,Paper/Films
Target Corporation Health Plan,MN,Business Associate,719.0,4/5/2016,Unauthorized Access/Disclosure,Paper/Films
Sisters of Charity of Leavenworth Health System Health Benefits Plan,CO,Business Associate,540.0,4/5/2016,Unauthorized Access/Disclosure,Paper/Films
Einstein Healthcare Network ,PA,Healthcare Provider,2939.0,4/1/2016,Unauthorized Access/Disclosure,Other
"Pointe Medical Services, Inc.",FL,Healthcare Provider,2000.0,4/1/2016,Theft,"Desktop Computer, Other Portable Electronic Device"
"Aurora Health Care, Inc.",WI,Healthcare Provider,869.0,4/1/2016,Unauthorized Access/Disclosure,Network Server
Mercy Iowa City,IA,Healthcare Provider,15625.0,3/25/2016,Hacking/IT Incident,"Desktop Computer, Email, Network Server"
"Morton Medical Center, PLLC",WA,Healthcare Provider,3000.0,3/24/2016,Hacking/IT Incident,"Desktop Computer, Network Server"
Northgate Medical PC,MA,Business Associate,2500.0,3/24/2016,Unauthorized Access/Disclosure,Email
"Excel Plus Home Health, Incorporated",TX,Healthcare Provider,524.0,3/23/2016,Theft,Desktop Computer
"Metropolitan Jewish Health System, Inc. d/b/a MJHS",NY,Business Associate,50000.0,3/22/2016,Hacking/IT Incident,Email
National Counseling Group,VA,Healthcare Provider,23000.0,3/21/2016,Hacking/IT Incident,Email
Bozeman Health Deaconess Hospital,MT,Healthcare Provider,1124.0,3/21/2016,Unauthorized Access/Disclosure,Paper/Films
Val Verde Regional Medical Center,TX,Healthcare Provider,2000.0,3/18/2016,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server"
"Lindsay House Surgery Center, LLC",NY,Healthcare Provider,773.0,3/18/2016,Theft,Paper/Films
Hospital for Special Surgery,NY,Healthcare Provider,647.0,3/17/2016,Unauthorized Access/Disclosure,Email
W. Christopher Bryant DDS PC,MI,Healthcare Provider,2200.0,3/17/2016,Loss,Other Portable Electronic Device
"Laborers Funds Administrative Office of Northern California, Inc.",CA,Health Plan,2373.0,3/15/2016,Unauthorized Access/Disclosure,Paper/Films
JASACare,NY,Healthcare Provider,1154.0,3/14/2016,Hacking/IT Incident,Email
Vibrant Body Wellness,CA,Healthcare Provider,726.0,3/11/2016,Theft,"Laptop, Other Portable Electronic Device"
Virtua Medical Group,NJ,Healthcare Provider,1654.0,3/11/2016,Unauthorized Access/Disclosure,"Network Server, Other"
Karmanos Cancer Center,MI,Healthcare Provider,2808.0,3/10/2016,Loss,Other Portable Electronic Device
UHHS Geauga Medical Center,OH,Healthcare Provider,677.0,3/10/2016,Unauthorized Access/Disclosure,Electronic Medical Record
Vidant Health,NC,Healthcare Provider,897.0,3/10/2016,Unauthorized Access/Disclosure,Other
Cromwell Fire District,CT,Healthcare Provider,500.0,3/10/2016,Unauthorized Access/Disclosure,Paper/Films
Illinois Valley Podiatry Group,IL,Healthcare Provider,26588.0,3/8/2016,Hacking/IT Incident,"Electronic Medical Record, Network Server"
Complete Family Foot Care,NE,Healthcare Provider,5883.0,3/7/2016,Hacking/IT Incident,"Electronic Medical Record, Network Server"
Walgreen Co.,IL,Healthcare Provider,880.0,3/4/2016,Theft,Paper/Films
"Premier Healthcare, LLC",IN,Healthcare Provider,205748.0,3/4/2016,Theft,Laptop
"Cardiology Associates of Jonesboro, Inc.",AR,Healthcare Provider,1669.0,3/4/2016,Unauthorized Access/Disclosure,Paper/Films
21st Century Oncology,FL,Healthcare Provider,2213597.0,3/4/2016,Hacking/IT Incident,Network Server
City of Hope,CA,Healthcare Provider,1024.0,3/4/2016,Hacking/IT Incident,Email
Centers Plan for Healthy Living ,NY,Health Plan,6893.0,3/3/2016,Theft,Laptop
"Walmart Stores, Inc.",AR,Healthcare Provider,4800.0,3/1/2016,Unauthorized Access/Disclosure,Electronic Medical Record
Group Life Hospital and Medical Program,CT,Health Plan,3000.0,2/29/2016,Hacking/IT Incident,Network Server
Mind Springs Health,CO,Healthcare Provider,2147.0,2/27/2016,Unauthorized Access/Disclosure,Network Server
Eye Institute of Corpus Christi,TX,Healthcare Provider,43961.0,2/26/2016,Theft,Electronic Medical Record
Freeport Memorial Hospital,IL,Healthcare Provider,1349.0,2/26/2016,Theft,Other
Ecolab Health and Welfare Benefits Plan,MN,Health Plan,1550.0,2/26/2016,Hacking/IT Incident,Network Server
Nintendo of America Inc.,WA,Health Plan,6248.0,2/26/2016,Hacking/IT Incident,Network Server
Valley Hope Association ,KS,Healthcare Provider,52076.0,2/26/2016,Theft,Laptop
"Vancouver Radiologists, PC",WA,Healthcare Provider,603.0,2/26/2016,Unauthorized Access/Disclosure,Paper/Films
Locust Fork Pharmacy,AL,Healthcare Provider,5000.0,2/26/2016,Unauthorized Access/Disclosure,Other
"BJC HealthCare ACO, LLC",MO,Healthcare Provider,2393.0,2/26/2016,Unauthorized Access/Disclosure,Email
ELLIOT J MARTIN CHIROPRACTIC PC,NY,Healthcare Provider,1200.0,2/24/2016,Hacking/IT Incident,Desktop Computer
Roark's Pharmacy,TN,Healthcare Provider,3000.0,2/19/2016,Theft,Network Server
"Public Health Trust of Miami-Dade County, Florida",FL,Healthcare Provider,24188.0,2/19/2016,Unauthorized Access/Disclosure,Electronic Medical Record
"Alliance Health Networks, LLC",UT,Healthcare Provider,42372.0,2/15/2016,Hacking/IT Incident,Network Server
"Radiology Regional Center, PA",FL,Healthcare Provider,483063.0,2/12/2016,Loss,Paper/Films
"DataStat, Inc.",MI,Business Associate,552.0,2/12/2016,Unauthorized Access/Disclosure,Paper/Films
BlueCross BlueShield of South Carolina ,SC,Business Associate,998.0,2/12/2016,Unauthorized Access/Disclosure,Paper/Films
Washington State Health Care Authority (HCA),WA,Health Plan,91187.0,2/9/2016,Unauthorized Access/Disclosure,Email
"SEIM JOHNSON, LLP",NE,Business Associate,30972.0,2/8/2016,Theft,Laptop
Borgess Medical Center d/b/a Borgess Rheumatology,MI,Healthcare Provider,700.0,2/5/2016,Unauthorized Access/Disclosure,Paper/Films
Rite Aid Store 01617,NY,Healthcare Provider,976.0,2/3/2016,Unauthorized Access/Disclosure,"Desktop Computer, Other"
"Grx Holdings, LLC dba Medicap Pharmacy",IA,Healthcare Provider,2300.0,2/2/2016,Loss,Other
Louisiana Healthcare Connections,LA,Health Plan,13086.0,2/2/2016,Theft,Other
Crown Point Health Center,IN,Healthcare Provider,1854.0,1/29/2016,Improper Disposal,Paper/Films
Community Mercy Health Partners,OH,Healthcare Provider,113528.0,1/25/2016,Improper Disposal,Paper/Films
"Livongo Health, Inc.",IL,Healthcare Provider,1950.0,1/25/2016,Unauthorized Access/Disclosure,Paper/Films
The University of Texas System Administration,TX,Health Plan,794.0,1/21/2016,Unauthorized Access/Disclosure,Email
New West Health Services d/b/a New West Medicare ,MT,Health Plan,28209.0,1/15/2016,Loss,Laptop
Hawaiâ€˜i Medical Service Association,HI,Health Plan,10179.0,1/15/2016,Unauthorized Access/Disclosure,Paper/Films
CDC/NIOSH/ World Trade Center Health Program (WTCHP),GA,Health Plan,597.0,1/15/2016,Unauthorized Access/Disclosure,Paper/Films
Blue Shield of California,CA,Health Plan,20764.0,1/14/2016,Unauthorized Access/Disclosure,Network Server
"Felicia Lewis, MD Lakewood Hills Internal Medicine",TX,Healthcare Provider,1500.0,1/14/2016,Hacking/IT Incident,Electronic Medical Record
"G&S Medical Associates, LLC",NJ,Healthcare Provider,3000.0,1/14/2016,Hacking/IT Incident,Desktop Computer
Brigham and Women's Hospital,MA,Healthcare Provider,1009.0,1/11/2016,Hacking/IT Incident,Email
AHRC Nassau ,NY,Healthcare Provider,1200.0,1/6/2016,Unauthorized Access/Disclosure,Paper/Films
Elite Imaging,FL,Healthcare Provider,1457.0,1/4/2016,Theft,Paper/Films
Pittman Family Dental,OH,Healthcare Provider,8830.0,12/31/2015,Hacking/IT Incident,Network Server
St. Luke's Cornwall Hospital,NY,Healthcare Provider,29156.0,12/30/2015,Theft,Other Portable Electronic Device
Hillsides,CA,Healthcare Provider,502.0,12/30/2015,Unauthorized Access/Disclosure,Email
"Michael Benjamin, M.D., Inc.",CA,Healthcare Provider,1300.0,12/28/2015,Theft,Paper/Films
HealthSouth Rehabilitation Hospital of Round Rock,TX,Healthcare Provider,1359.0,12/24/2015,Theft,Laptop
