Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information
vonica chau DDS PA,TX,Healthcare Provider,810,10/8/2014,Theft,Desktop Computer
VARO Healthcare,PA,Business Associate,1667,10/7/2014,Unauthorized Access/Disclosure,Paper/Films
Vcarve LLC d/b/a MD Manage,NJ,Business Associate,585,10/6/2014,Unauthorized Access/Disclosure,Network Server
Albertina Kerr Centers,OR,Healthcare Provider,1320,10/6/2014,Theft,Laptop
"Touchstone Medical Imaging, LLC",TN,Healthcare Provider,307528,10/3/2014,Unauthorized Access/Disclosure,Network Server
Mount Sinai Beth Israel,NY,Healthcare Provider,10793,10/3/2014,Theft,Laptop
"U.S. Health Holdings, Ltd. o/b/o Macomb County, Michigan",MI,Health Plan,6302,10/1/2014,Unauthorized Access/Disclosure,Other
"American Family Care, Inc.",AL,Healthcare Provider,2588,9/30/2014,Theft,Laptop
"Compassionate Care Hospice of Central Louisiana, LLC",LA,Healthcare Provider,707,9/26/2014,Theft,"Laptop, Other"
Madison Street Provider Network,CO,Healthcare Provider,523,9/26/2014,Theft,Laptop
"Owensboro Medical Practice, PLLC",KY,Healthcare Provider,4077,9/25/2014,Unauthorized Access/Disclosure,Other Portable Electronic Device
"Research Integrity, LLC",KY,Business Associate,4077,9/22/2014,Unauthorized Access/Disclosure,Other Portable Electronic Device
New Mexico VA Health Care System,NM,Healthcare Provider,2657,9/18/2014,Unauthorized Access/Disclosure,Paper/Films
South Suburban HIV/AIDS Regional Clinics,IL,Business Associate,767,9/17/2014,Other,Email
Cook County Health and Hospitals System,IL,Healthcare Provider,767,9/15/2014,Hacking/IT Incident,Email
Emdeon,TN,Business Associate,800,9/12/2014,Theft,Paper/Films
Santa Fe Medical Group,NM,Healthcare Provider,843,9/12/2014,Theft,Other Portable Electronic Device
Tampa General Hospital,FL,Healthcare Provider,675,9/12/2014,Unauthorized Access/Disclosure,Electronic Medical Record
Aventura Hospital and Medical Center,FL,Healthcare Provider,82601,9/11/2014,"Theft, Unauthorized Access/Disclosure",Network Server
Cedars-Sinai Health System,CA,Healthcare Provider,33136,9/10/2014,Theft,Laptop
"Xerox State Healthcare, LLC",TX,Business Associate,2000000,9/10/2014,Unauthorized Access/Disclosure,"Desktop Computer, Email, Laptop, Network Server, Other, Other Portable Electronic Device"
Kmart Corporation,IL,Healthcare Provider,1866,9/10/2014,Unauthorized Access/Disclosure,Paper/Films
Wm. Jennings Bryan Dorn VA Medical Center,SC,Healthcare Provider,3637,9/10/2014,Unauthorized Access/Disclosure,Paper/Films
Valesco Ventures,FL,Business Associate,82601,9/9/2014,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record
Bon Secours Kentucky,KY,Healthcare Provider,697,9/9/2014,Unauthorized Access/Disclosure,Other
"ENT Partners of Texas (legally known as Irving-Coppell Ear, Nose and Throat) ",TX,Healthcare Provider,789,9/9/2014,"Loss, Theft","Laptop, Other Portable Electronic Device"
"Thomas Cristello, Chiropractor PC",NY,Healthcare Provider,914,9/9/2014,Loss,Other Portable Electronic Device
The WellPoint Affiliated Covered Entities  ,IN,Health Plan,1464,9/8/2014,Unauthorized Access/Disclosure,Paper/Films
Temple University Physicians,PA,Healthcare Provider,3780,9/5/2014,Theft,Desktop Computer
Emdeon,TN,Business Associate,566,9/4/2014,Theft,Paper/Films
"Bulloch Pediatric Group, LLC",GA,Healthcare Provider,10000,9/4/2014,Unauthorized Access/Disclosure,Paper/Films
AltaMed Health Services Corporation,CA,Healthcare Provider,3206,8/29/2014,Theft,"Desktop Computer, Network Server, Paper/Films"
Memorial Hermann Health System,TX,Healthcare Provider,10604,8/29/2014,Unauthorized Access/Disclosure,Desktop Computer
Duke University Health System,NC,Healthcare Provider,10993,8/29/2014,Theft,Other Portable Electronic Device
Metropolitan Government of Nashville and Davidson County (Metro) Public Health Department,TN,Health Plan,1717,8/29/2014,Other,Other
"The Longstreet Clinic, P. C.",GA,Healthcare Provider,720,8/28/2014,Improper Disposal,Other
Group Health Incorporated,NY,Health Plan,802,8/27/2014,Unauthorized Access/Disclosure,Paper/Films
Midwest Womens Healthcare Specialist,MO,Healthcare Provider,1376,8/26/2014,Improper Disposal,Paper/Films
Aventura Hospital and Medical Center,FL,Healthcare Provider,948,8/26/2014,Theft,Desktop Computer
St. Elizabeth's Medical Center,MA,Healthcare Provider,595,8/26/2014,Theft,"Laptop, Other Portable Electronic Device"
Specialty Clinics Of Georgia - Orthopaedics,GA,Healthcare Provider,2350,8/25/2014,Theft,Paper/Films
"Steven A. Goldman, MD Inc.",OH,Healthcare Provider,6141,8/22/2014,Theft,Network Server
Oklahoma City Indian Clinic,OK,Healthcare Provider,6000,8/22/2014,Unauthorized Access/Disclosure,Email
Community Health Systems Professional Services Corporations,TN,Healthcare Provider,6121158,8/21/2014,Hacking/IT Incident,Network Server
Community Health Systems Professional Services Corporation,TN,Business Associate,4500000,8/20/2014,Theft,Network Server
Dennis Flynn MD,IL,Healthcare Provider,13646,8/19/2014,Theft,Laptop
Tri-City Medical Center,CA,Healthcare Provider,500,8/18/2014,Theft,Paper/Films
University Health,LA,Healthcare Provider,6073,8/15/2014,Hacking/IT Incident,Network Server
Children's Mercy Hospital,MO,Business Associate,4067,8/15/2014,Hacking/IT Incident,Network Server
Iron Mountain,CA,Business Associate,49714,8/15/2014,"Improper Disposal, Loss, Theft",Paper/Films
Iron Mountain Incorporated,MA,Business Associate,10000,8/15/2014,"Loss, Theft",Paper/Films
State of Tennessee State Insurance Plan,TN,Health Plan,60582,8/15/2014,Hacking/IT Incident,Network Server
24 ON Physicians PC,GA,Business Associate,10104,8/15/2014,Hacking/IT Incident,Network Server
"24 ON Physicians, PC/In Compass Health,Inc.",GA,Business Associate,520,8/14/2014,"Hacking/IT Incident, Other",Network Server
Iron Mountain Records Management,CA,Business Associate,1674,8/13/2014,"Improper Disposal, Loss, Theft",Other
"CareAll Management, LLC",TN,Healthcare Provider,28300,8/12/2014,Improper Disposal,Other
Kaiser Foundation Health Plan of Colorado,CO,Health Plan,11551,8/12/2014,"Other, Unauthorized Access/Disclosure",Other
Apple Valley Care Center,CA,Healthcare Provider,1251,8/12/2014,Hacking/IT Incident,Network Server
Onsite Health Diagnostics (OHD),TX,Business Associate,60582,8/8/2014,Hacking/IT Incident,Network Server
"PST Services Inc, a McKesson Co.",GA,Business Associate,10104,8/8/2014,Hacking/IT Incident,Network Server
Central Utah Clinic,UT,Healthcare Provider,31677,8/7/2014,Hacking/IT Incident,Network Server
Diamond Computing Company,GA,Business Associate,7016,8/7/2014,Unauthorized Access/Disclosure,Network Server
Jersey City Medical Center,NJ,Healthcare Provider,36400,8/7/2014,Loss,Other Portable Electronic Device
MobilexUSA,OH,Healthcare Provider,605,8/6/2014,Loss,Paper/Films
Cancer Specialists of Tidewater,VA,Healthcare Provider,2318,7/31/2014,Theft,"Electronic Medical Record, Other"
"StayWell Health Management, LLC",MN,Business Associate,4487,7/31/2014,Hacking/IT Incident,Network Server
Rite Aid Store 5256,WA,Healthcare Provider,522,7/30/2014,Theft,Paper/Films
Midwest Urological Group,IL,Healthcare Provider,982,7/30/2014,Theft,Laptop
"PRN Medical Services, LLC dba Symbius Medical, LLC",AZ,Healthcare Provider,13877,7/29/2014,"Other, Theft, Unauthorized Access/Disclosure","Email, Network Server"
Dr. Veronica Joann Barber,CA,Business Associate,4000,7/28/2014,Unauthorized Access/Disclosure,Network Server
"Urological Associates of Southern Arizona, P.C.",AZ,Healthcare Provider,3529,7/25/2014,Improper Disposal,Other
Self Regional Healthcare ,SC,Healthcare Provider,38906,7/25/2014,Theft,Laptop
BioReference Laboratories Inc,NJ,,3334,7/23/2014,Unauthorized Access/Disclosure,Network Server
Midwest Orthopaedic Center SC,IL,Business Associate,680,7/23/2014,Unauthorized Access/Disclosure,Network Server
Administracion de Seguros de Salud - Triple S Salud Inc (BA),PR,Health Plan,7911,7/18/2014,Unauthorized Access/Disclosure,Other Portable Electronic Device
Minneapolis VA Health Care System,MN,Health Plan,500,7/17/2014,Unauthorized Access/Disclosure,Paper/Films
Bay Area Pain Medical Associates ,CA,Healthcare Provider,2780,7/16/2014,Theft,Desktop Computer
University of Pennsylvania Health System,PA,Healthcare Provider,661,7/16/2014,Theft,Paper/Films
Indian Health Service -Rosebud,MD,Healthcare Provider,620,7/15/2014,Loss,Paper/Films
Western Regional Center for Brain and Spine Surgery,NV,Healthcare Provider,12000,7/12/2014,Theft,Network Server
"InSync Computer Solutions, Inc.",AL,Business Associate,50918,7/11/2014,Other,Network Server
"St. Vincent Hospital and Health Care Center, Inc.",IN,Business Associate,63325,7/9/2014,Unauthorized Access/Disclosure,Paper/Films
Haley Chiropractic Clinic,WA,Healthcare Provider,6000,7/8/2014,Theft,"Desktop Computer, Laptop"
Highmark Inc.,PA,Business Associate,2589,7/8/2014,Theft,Paper/Films
Montana Department of Public Health & Human Services,MT,Health Plan,1062509,7/7/2014,Hacking/IT Incident,Network Server
D&J Optical Inc. ,AL,Health Plan,1100,7/7/2014,Hacking/IT Incident,Desktop Computer
VA Long Beach Healthcare System,CA,Healthcare Provider,592,7/4/2014,Unauthorized Access/Disclosure,Paper/Films
The Union Labor Life Insurance Company,MD,Healthcare Provider,42713,6/27/2014,Theft,Laptop
Alabama Department of Public Health,AL,Healthcare Provider,1200,6/26/2014,Theft,Electronic Medical Record
Rady Children's Hospital - San Diego,CA,Healthcare Provider,6307,6/25/2014,Unauthorized Access/Disclosure,"Email, Other"
Rady Children's Hospital - San Diego,CA,Healthcare Provider,14121,6/24/2014,Unauthorized Access/Disclosure,Email
Riverside County Regional Medical Center,CA,Healthcare Provider,563,6/24/2014,Theft,Laptop
"Sloane Stecker Physical Therapy, PC",NY,Healthcare Provider,2000,6/24/2014,Theft,Electronic Medical Record
"Colorado Neurodiagnostics, PLLC",CO,Healthcare Provider,750,6/23/2014,Theft,Laptop
"Abrham Tekola, M.D.,INC",CA,Healthcare Provider,5471,6/20/2014,Theft,Desktop Computer
NYU Hospitals Center,NY,Healthcare Provider,872,6/20/2014,Theft,Laptop
"NRAD Medical Associates, P.C.",NY,Healthcare Provider,97000,6/20/2014,"Hacking/IT Incident, Unauthorized Access/Disclosure","Desktop Computer, Other Portable Electronic Device"
"David DiGiallorenzo, D.M.D.",PA,Healthcare Provider,11000,6/19/2014,"Hacking/IT Incident, Unauthorized Access/Disclosure",Other
IHS,MD,Health Plan,620,6/19/2014,Unauthorized Access/Disclosure,Other
Group Health Plan of Hurley Medical Center,MI,Health Plan,2289,6/16/2014,Unauthorized Access/Disclosure,Email
Baylor Medical Center at Carrollton,TX,Healthcare Provider,2874,6/13/2014,Unauthorized Access/Disclosure,Electronic Medical Record
"Santa Rosa Memorial Hospital, Privacy Manager Breach",CA,Healthcare Provider,33702,6/13/2014,Theft,Other Portable Electronic Device
"Doctors First Choice Billings, Inc.",FL,Business Associate,1831,6/12/2014,Hacking/IT Incident,Other
"Doctors First Choice Billings, Inc",FL,Business Associate,9255,6/11/2014,Theft,Other
St. Francis Hospital,GA,Healthcare Provider,1175,6/9/2014,Unauthorized Access/Disclosure,Email
Walgreen Co.,IL,Healthcare Provider,540,6/6/2014,Theft,"Desktop Computer, Paper/Films"
Penn State Milton S. Hershey Medical Center,PA,Healthcare Provider,1801,6/6/2014,Unauthorized Access/Disclosure,"Email, Other Portable Electronic Device"
Mark A. Gillispie,CA,Healthcare Provider,5845,6/6/2014,Theft,Desktop Computer
Open Cities Health Center,MN,Healthcare Provider,1304,6/5/2014,Unauthorized Access/Disclosure,Email
Salina Health Education dba Salina Healthcare Center,KS,Healthcare Provider,9640,6/5/2014,Unauthorized Access/Disclosure,Email
"NFP Maschino, Hudelson & Associates",OK,Business Associate,3814,5/30/2014,Theft,Laptop
Triple-S Salud ,PR,Health Plan,56853,5/29/2014,Unauthorized Access/Disclosure,Paper/Films
Bay Park Hospital,OH,Healthcare Provider,594,5/28/2014,Unauthorized Access/Disclosure,"Electronic Medical Record, Network Server"
Jamaica Hospital Medical Center,NY,Healthcare Provider,26162,5/23/2014,Unauthorized Access/Disclosure,Desktop Computer
Humana Inc [case #15381],KY,Health Plan,2962,5/23/2014,Theft,Other Portable Electronic Device
"Sutherland Healthcare Solutions, Inc.",NJ,Business Associate,342197,5/22/2014,Theft,"Email, Laptop"
Elliot Health System,NH,Healthcare Provider,1208,5/21/2014,Theft,Desktop Computer
Blue Cross Blue Shield of Michigan Blue Care Network,MI,Business Associate,502,5/19/2014,Unauthorized Access/Disclosure,Email
Central City Concern,OR,Healthcare Provider,17914,5/19/2014,Unauthorized Access/Disclosure,Other
American Health Inc. ,PR,Health Plan,11531,5/18/2014,Unauthorized Access/Disclosure,Paper/Films
Howard L. Weinstein D.P.M.,TX,Healthcare Provider,1000,5/10/2014,Theft,Laptop
"Molina Healthcare of New Mexico, Inc.",NM,Business Associate,4744,5/10/2014,Unauthorized Access/Disclosure,Paper/Films
Options Counseling Center,NJ,Healthcare Provider,2828,5/9/2014,"Theft, Unauthorized Access/Disclosure",Paper/Films
KEYSTONE INSURERS GROUP,IN,Business Associate,1008,5/6/2014,Other,Email
"Porter, MD, Steven",UT,Healthcare Provider,500,5/6/2014,Improper Disposal,Network Server
UMass Memorial Medical Center,MA,Healthcare Provider,2387,5/5/2014,Unauthorized Access/Disclosure,"Electronic Medical Record, Paper/Films"
OptumRx,IL,Business Associate,5696,4/30/2014,Theft,Paper/Films
Boston Medical Center,MA,,15265,4/29/2014,Unauthorized Access/Disclosure,Network Server
Reading Health System,PA,Healthcare Provider,1845,4/29/2014,Loss,Paper/Films
Flowers Hospital,AL,Healthcare Provider,629,4/25/2014,Theft,Paper/Films
Iowa Medicaid Enterprise,IA,Health Plan,862,4/25/2014,Unauthorized Access/Disclosure,Paper/Films
"Ferguson Advertising, Inc.",IN,Business Associate,1361,4/25/2014,Hacking/IT Incident,Network Server
HealthTexas Provider Network,TX,Healthcare Provider,2742,4/25/2014,Hacking/IT Incident,Email
Baylor Regional Medical Center at Plano,TX,Healthcare Provider,1981,4/25/2014,Hacking/IT Incident,Email
Baylor Medical Center at Irving,TX,Healthcare Provider,2308,4/25/2014,Hacking/IT Incident,Email
Baylor Medical Center at McKinney,TX,Healthcare Provider,1253,4/25/2014,Hacking/IT Incident,Email
Sorenson Communications/CaptionCall Group Health Plan,UT,Health Plan,9800,4/24/2014,Hacking/IT Incident,Network Server
Willis North America Inc. Medical Expense Benefit Plan,NY,Health Plan,4830,4/24/2014,Unauthorized Access/Disclosure,Email
Inclusion Research Institute,DC,Business Associate,2200,4/24/2014,Unauthorized Access/Disclosure,Paper/Films
"Tufts Associated Health Maintenance Organization, Inc. and Tufts Insurance Company ",MA,Health Plan,8830,4/24/2014,Theft,Other
"Ladies First Choice, Inc.",FL,Healthcare Provider,2365,4/23/2014,"Theft, Unauthorized Access/Disclosure",Laptop
Centura Health,CO,Healthcare Provider,12286,4/22/2014,Hacking/IT Incident,Email
Larsen Dental Care LLC,ID,Healthcare Provider,6900,4/18/2014,Theft,Other Portable Electronic Device
VGM Homelink,IA,Business Associate,1400,4/18/2014,Unauthorized Access/Disclosure,Paper/Films
Shaker Clinic,OH,Healthcare Provider,617,4/18/2014,Loss,Paper/Films
"Courier Express/Atlanta, Courier Express/Charlotte & Courier Express US, Inc.",GA,Business Associate,2523,4/17/2014,"Theft, Unauthorized Access/Disclosure",Paper/Films
"Service Coordination, Inc.",MD,Business Associate,10766,4/17/2014,"Hacking/IT Incident, Unauthorized Access/Disclosure",Network Server
Greenwood Leflore Hospital,MS,Healthcare Provider,3750,4/16/2014,Theft,Other
Administracion de Seguros de Salud - Triple S Salud Inc (BA),PR,Business Associate,46473,4/15/2014,Theft,Other Portable Electronic Device
Triple S Salud Inc.,PR,Business Associate,7911,4/15/2014,Theft,Other Portable Electronic Device
IHS,MD,Health Plan,5000,4/15/2014,Unauthorized Access/Disclosure,Other
"Healthy Connections, Inc",CA,Healthcare Provider,793,4/14/2014,Loss,Other Portable Electronic Device
"University Urology, P.C.",TN,Healthcare Provider,1144,4/14/2014,Unauthorized Access/Disclosure,Paper/Films
BLUE CROSS AND BLUE SHIELD OF KANSAS CITY,MO,Health Plan,2546,4/11/2014,Unauthorized Access/Disclosure,Other
"Amerigroup Texas, Inc. ",VA,Business Associate,75026,4/10/2014,Theft,Paper/Films
Cigna,CT,Business Associate,527,4/9/2014,Loss,Paper/Films
"Clinical Reference Laboratory, Inc.",KS,Healthcare Provider,979,4/9/2014,Loss,Paper/Films
Florida Healthy Kids Corporation,FL,Health Plan,580,4/9/2014,Unauthorized Access/Disclosure,Paper/Films
Presence St. Joseph's Medical Center,IL,Healthcare Provider,836,4/4/2014,Other,Paper/Films
Michigan Department of Community Health,MI,Healthcare Provider,2595,4/3/2014,Theft,Other Portable Electronic Device
American Health Inc. ,PR,Health Plan,17776,4/3/2014,Theft,Other
Triple-S Salud ,PR,Health Plan,5795,4/2/2014,Theft,Other
KP Northern CA Department of Research,CA,Healthcare Provider,5178,4/2/2014,Hacking/IT Incident,Network Server
Indian Health Service,MD,Health Plan,214000,4/1/2014,Unauthorized Access/Disclosure,Laptop
"Midwest Orthopaedics at Rush, LLC",IL,Healthcare Provider,1256,3/31/2014,Hacking/IT Incident,Email
"Policy Studies, Inc. / Postal Center International, Inc.",FL,Business Associate,580,3/31/2014,Unauthorized Access/Disclosure,Paper/Films
Medical Center of Plano,TX,Business Associate,1000,3/31/2014,Unauthorized Access/Disclosure,Other
"Myriad Genetic Laboratories, Inc.",UT,Healthcare Provider,643,3/29/2014,Unauthorized Access/Disclosure,Email
"Palomar Health, Privacy Manager Breach",CA,Healthcare Provider,5499,3/28/2014,Theft,Other Portable Electronic Device
Franciscan Medical Group,WA,Healthcare Provider,8300,3/28/2014,Other,Email
Jewish Hospital,KY,Healthcare Provider,2992,3/28/2014,Other,Email
Susquehanna Health,PA,Healthcare Provider,657,3/27/2014,Unauthorized Access/Disclosure,Email
NOVA Chiropractic & Rehab Center,VA,Healthcare Provider,5534,3/27/2014,"Loss, Other",Other Portable Electronic Device
Stoetzel's Planet Chiropractic,IL,Healthcare Provider,1000,3/25/2014,Theft,"Laptop, Other Portable Electronic Device"
"Orlando Health, Inc.",FL,Healthcare Provider,586,3/24/2014,Loss,Other Portable Electronic Device
Yellowstone Boys and Girls Ranch,MT,Healthcare Provider,543,3/24/2014,Loss,Paper/Films
Talyst,WA,Business Associate,1079,3/24/2014,Theft,Laptop
Sutherland Healthcare Solutions,CA,Business Associate,55900,3/21/2014,Theft,Desktop Computer
"HealthPartners Administrators, Inc.",MN,Business Associate,715,3/21/2014,"Loss, Unauthorized Access/Disclosure","Desktop Computer, Laptop, Other Portable Electronic Device"
"HealthPartners Administrators, Inc.",MN,Business Associate,1699,3/21/2014,"Loss, Unauthorized Access/Disclosure","Desktop Computer, Laptop, Other Portable Electronic Device"
"HealthPartners Administrators, Inc.",MN,Business Associate,796,3/21/2014,"Loss, Unauthorized Access/Disclosure","Desktop Computer, Laptop, Other Portable Electronic Device"
HealthPartners Inc,MN,Health Plan,27839,3/21/2014,Unauthorized Access/Disclosure,"Desktop Computer, Laptop, Other Portable Electronic Device"
Berea College,KY,Healthcare Provider,1000,3/20/2014,Other,Electronic Medical Record
"StayWell Health Management, LLC",MN,Business Associate,1746,3/18/2014,Unauthorized Access/Disclosure,Network Server
TMA Practice Management Group,TX,Business Associate,2260,3/17/2014,"Improper Disposal, Loss",Other Portable Electronic Device
Hospitalists of Arizona,AZ,Healthcare Provider,1706,3/16/2014,Theft,Laptop
Valley View Hospital Association,CO,Healthcare Provider,5415,3/14/2014,Hacking/IT Incident,"Desktop Computer, Laptop"
"Partners In Nephrology & Endocrinology, P.C.",PA,Healthcare Provider,5000,3/14/2014,Other,Other
"Todd M. Burton, M.D.",TX,Healthcare Provider,5000,3/13/2014,Theft,Other
Detroit Medical Center - Harper University Hospital,MI,Healthcare Provider,1087,3/13/2014,"Theft, Unauthorized Access/Disclosure",Paper/Films
"University of California San Francisco , Privacy Manager Breach",CA,Healthcare Provider,9861,3/12/2014,Theft,Desktop Computer
Mission City Community Network,CA,Healthcare Provider,7800,3/12/2014,Theft,Email
Iowa Dept. of Human Services,IA,Health Plan,2042,3/10/2014,Other,"Email, Laptop, Other Portable Electronic Device"
"PracMan, Inc.",AL,Business Associate,1179,3/10/2014,Hacking/IT Incident,Network Server
"PracMan, Inc.",AL,Business Associate,1145,3/7/2014,Hacking/IT Incident,Network Server
Banner Health,AZ,Healthcare Provider,55207,3/5/2014,Other,Other
St. Joseph Health System,TX,Business Associate,3300,3/5/2014,Hacking/IT Incident,Network Server
Eureka Internal Medicine,CA,Healthcare Provider,3534,3/4/2014,Improper Disposal,Paper/Films
Data Media,GA,Business Associate,600,2/28/2014,Other,Other
Joseph Michael Benson M.D,TX,Healthcare Provider,7500,2/27/2014,Theft,Desktop Computer
"Cornerstone Health Care, PA",NC,Healthcare Provider,548,2/26/2014,"Loss, Theft",Laptop
"The Kroger Co., for itself and its affiliates and subsidiaries",OH,Healthcare Provider,504,2/26/2014,Other,Electronic Medical Record
HealthSource of Ohio Inc.,OH,,8845,2/26/2014,Unauthorized Access/Disclosure,Other
"Care Advantage, Inc.",VA,Healthcare Provider,3458,2/26/2014,Theft,Laptop
"StayWell Health Management, LLC",MN,Business Associate,1511,2/25/2014,Unauthorized Access/Disclosure,Network Server
"Palo Verde Hospital, Privacy Manager Breach",CA,Healthcare Provider,1100,2/25/2014,Unauthorized Access/Disclosure,"Other, Other Portable Electronic Device"
Inspira Health Network Inc.,NJ,Healthcare Provider,1411,2/21/2014,Theft,Desktop Computer
"StayWell Health Management, LLC",MN,Business Associate,4786,2/21/2014,Unauthorized Access/Disclosure,Network Server
"StayWell Health Management, LLC",MN,Business Associate,520,2/21/2014,Unauthorized Access/Disclosure,Network Server
"StayWell Health Management, LLC",MN,Business Associate,10024,2/21/2014,Unauthorized Access/Disclosure,Network Server
St. Vincent Hospital and Healthcare Inc,IN,Healthcare Provider,1142,2/18/2014,Theft,Laptop
"UC Davis Medical Center, Privacy Manager Breach",CA,Healthcare Provider,2269,2/14/2014,Hacking/IT Incident,Email
Health Care Solutions at Home Inc.,OH,Health Plan,1139,2/14/2014,Theft,Other
"Supportive Concepts for Families, Inc.",PA,Healthcare Provider,593,2/13/2014,Unauthorized Access/Disclosure,Network Server
University of Miami,FL,Healthcare Provider,13074,2/12/2014,Loss,Paper/Films
"Lewis J. Sims, DPM, PC dba Sims and Associates Podiatry ",NY,Healthcare Provider,6475,2/12/2014,"Other, Theft",Laptop
WA State Department of Social & Health Services,WA,Health Plan,3104,2/11/2014,"Other, Unauthorized Access/Disclosure",Paper/Films
Kmart Corporation,IL,Healthcare Provider,16446,2/10/2014,Theft,"Electronic Medical Record, Other"
PruittHealth Pharmacy Services,GA,Healthcare Provider,841,2/7/2014,Theft,Laptop
"Easter Seal Society of Superior California, Privacy Manager Breach",CA,Healthcare Provider,3026,2/7/2014,Theft,Laptop
"Min Yi, M.D.",CA,Healthcare Provider,4676,2/5/2014,Theft,Other Portable Electronic Device
St Joseph Health System,TX,Healthcare Provider,405000,2/5/2014,Hacking/IT Incident,Network Server
Beebe Medical Center,DE,Healthcare Provider,1883,1/31/2014,Other,Laptop
Presence Health ,IL,Healthcare Provider,836,1/31/2014,Loss,Paper/Films
The University of Texas MD Anderson Cancer Center,TX,Healthcare Provider,3598,1/31/2014,Loss,Other Portable Electronic Device
University of Wisconsin-Madison School of Pharmacy,WI,Business Associate,41437,1/30/2014,Loss,Other Portable Electronic Device
Medical Mutual of Ohio,OH,Business Associate,1420,1/27/2014,Unauthorized Access/Disclosure,Paper/Films
"Birmingham Printing and Publishing, Inc dba Paper Airplane",AL,Business Associate,1085,1/24/2014,Other,Other
"Triple-C, Inc.",PR,Business Associate,8000,1/24/2014,"Theft, Unauthorized Access/Disclosure",Network Server
"Triple-S Salud, Inc. - Breach Case#2",PR,Health Plan,398000,1/24/2014,Theft,Network Server
"Robert B. Neves, M.D.",CA,Business Associate,611,1/24/2014,Theft,Laptop
Geisinger Bloomsburg Hospital,PA,Healthcare Provider,3101,1/23/2014,Loss,Paper/Films
The Brooklyn Hospital Center,NY,Healthcare Provider,2172,1/22/2014,Theft,Other Portable Electronic Device
Hospital for Special Surgery,NY,Healthcare Provider,937,1/21/2014,Theft,"Desktop Computer, Paper/Films"
COMPLETE MEDICAL HOMECARE,KS,Healthcare Provider,1700,1/21/2014,Unauthorized Access/Disclosure,Other Portable Electronic Device
Health Dimensions,MI,Healthcare Provider,5370,1/16/2014,Theft,Network Server
Sentara Healthcare,VA,Healthcare Provider,3861,1/16/2014,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record
Saint Francis Hospital and Medical Center,CT,Healthcare Provider,858,1/16/2014,Theft,Paper/Films
"Alamo Consumer Direct, LLC",TX,Healthcare Provider,520,1/16/2014,Unauthorized Access/Disclosure,Network Server
Network Pharmacy Knoxville,TN,Healthcare Provider,9602,1/15/2014,Theft,Laptop
Tri Lakes Medical Center,MS,Healthcare Provider,1489,1/15/2014,Hacking/IT Incident,Network Server
"RGH Enterprises, Inc.",OH,Health Plan,4230,1/13/2014,Theft,Network Server
Southwest General Health Center,OH,Healthcare Provider,953,1/13/2014,Unknown,Other
Temple Physicians Inc.,PA,Healthcare Provider,694,1/13/2014,"Loss, Theft",Paper/Films
Riverside Medical Group,VA,Healthcare Provider,919,1/13/2014,Unauthorized Access/Disclosure,Electronic Medical Record
Cook County Health & Hospitals System,IL,Healthcare Provider,22511,1/11/2014,Other,Email
Virginia Premier Health Plan (VPHP),VA,Business Associate,25513,1/10/2014,Theft,Paper/Films
Tri Lakes Medical Center,MS,Healthcare Provider,1489,1/10/2014,Hacking/IT Incident,Network Server
"101 Family Medical Group, Privacy Manager Breach",CA,Business Associate,2500,1/8/2014,Theft,Laptop
Phoebe Putney Memorial Hospital,GA,Healthcare Provider,12937,1/7/2014,Theft,"Electronic Medical Record, Paper/Films"
North Carolina Department of Health and Human Services,NC,Healthcare Provider,48752,1/7/2014,Unauthorized Access/Disclosure,Other
North Carolina Department of Health and Human Services ,NC,Health Plan,48752,1/6/2014,Unauthorized Access/Disclosure,Other
"RevSpring, Inc.",MI,Business Associate,3000,1/6/2014,Other,Paper/Films
Coulee Medical Center,WA,Healthcare Provider,2500,1/3/2014,Theft,"Email, Laptop, Network Server"
Phoebe Putney Memorial Hospital,GA,Healthcare Provider,6989,1/3/2014,Loss,Desktop Computer
"Horizon Healthcare Services, Inc., doing business as Horizon Blue Cross Blue Shield of New Jersey, and its affiliates",NJ,Business Associate,839711,1/3/2014,Theft,Laptop
Colorado Community Health Alliance (CCHA)/Physicians Health Partners,CO,Business Associate,1918,1/2/2014,Unauthorized Access/Disclosure,Email
Houston Methodist Hospital,TX,Healthcare Provider,1341,1/2/2014,Theft,Paper/Films
"New Mexico Oncology Hematology Consultants, LTD",NM,Healthcare Provider,12354,12/31/2013,Theft,Laptop
Barry University,FL,Healthcare Provider,9017,12/31/2013,Hacking/IT Incident,"Laptop, Network Server"
Florida Department of Health,FL,Healthcare Provider,2354,12/23/2013,Unauthorized Access/Disclosure,Desktop Computer
Tranquility Counseling Services,NC,Healthcare Provider,1683,12/23/2013,Other,Paper/Films
Jeff Spiegel,MA,Healthcare Provider,832,12/23/2013,Unauthorized Access/Disclosure,Email
"Rob Meaglia, DDS",CA,Healthcare Provider,1400,12/23/2013,Theft,Desktop Computer
"Molina Healthcare of Texas, Inc.",TX,Health Plan,2826,12/21/2013,Other,Paper/Films
ZDI,CA,Business Associate,1674,12/20/2013,Loss,Paper/Films
Colby DeHart,TN,Business Associate,2777,12/19/2013,Theft,Laptop
